GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM,X_COORD,Y_COORD
0.0,20.0,4,6.0,6.0,5.0,4.0,6.0,5.0,5.0,성산일출봉,126.9405375,33.45913497
1.0,30.0,16,4.0,3.0,2.0,4.0,6.0,1.0,5.0,제주약수터 올레시장점,126.5627608,33.24901957
1.0,20.0,20,3.0,1.0,4.0,4.0,2.0,4.0,5.0,본디국수,126.5323296,33.49542375
0.0,30.0,21,7.0,2.0,2.0,6.0,2.0,6.0,4.0,오드랑베이커리,126.671581,33.54213375
0.0,20.0,6,6.0,2.0,5.0,6.0,2.0,7.0,5.0,스타벅스 제주성산DT점,126.9206765,33.44969301
1.0,20.0,8,4.0,1.0,4.0,4.0,6.0,6.0,4.0,국시트멍,126.4813281,33.47937258
1.0,20.0,5,4.0,1.0,4.0,4.0,4.0,7.0,5.0,공간키친,126.5296674,33.4989472
1.0,20.0,14,7.0,7.0,7.0,7.0,7.0,1.0,5.0,비양도,126.2273484,33.41027771
1.0,20.0,9,4.0,4.0,4.0,4.0,7.0,1.0,5.0,꽃게와낙지,126.4098073,37.60029996
1.0,30.0,13,4.0,2.0,2.0,3.0,6.0,5.0,4.0,카페태희,126.3044681,33.44940496
1.0,20.0,12,7.0,1.0,1.0,7.0,1.0,6.0,4.0,우무,126.2564457,33.40588987
1.0,20.0,7,1.0,1.0,6.0,5.0,4.0,7.0,5.0,옥돌슈퍼,126.4102003,35.80772787
0.0,40.0,18,1.0,1.0,2.0,3.0,2.0,4.0,5.0,독도문방구,130.9094784,37.49622815
1.0,20.0,23,2.0,4.0,4.0,5.0,6.0,6.0,5.0,제주동문재래시장,126.5260174,33.51158514
0.0,20.0,33,6.0,7.0,2.0,4.0,7.0,1.0,3.0,연돈볼카츠 제주성산일출봉점,126.9347311,33.46207851
0.0,20.0,37,4.0,3.0,6.0,3.0,6.0,3.0,2.0,한라산1100고지,126.4622197,33.35807817
0.0,20.0,16,2.0,3.0,2.0,3.0,6.0,5.0,4.0,간월암,126.4111447,36.60374123
1.0,40.0,9,2.0,2.0,4.0,3.0,2.0,2.0,5.0,만장굴,126.7693513,33.52793252
1.0,20.0,6,2.0,1.0,4.0,3.0,7.0,2.0,5.0,제주인스킨케어,126.4896828,33.48353115
