GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM
0.0,20.0,28,2.0,1.0,6.0,2.0,7.0,5.0,3.0,더 시그니처 이자카야
1.0,20.0,11,2.0,3.0,5.0,3.0,2.0,6.0,4.0,9.81파크
1.0,20.0,3,2.0,2.0,5.0,3.0,6.0,7.0,5.0,서귀포매일올레시장
0.0,20.0,2,1.0,1.0,1.0,1.0,7.0,7.0,2.0,삼정본가식당
0.0,30.0,12,3.0,2.0,3.0,4.0,5.0,6.0,5.0,이승악오름
0.0,30.0,6,4.0,1.0,1.0,1.0,1.0,4.0,5.0,머문
1.0,20.0,17,1.0,1.0,4.0,1.0,4.0,7.0,4.0,광치기해변
1.0,30.0,14,2.0,2.0,4.0,2.0,6.0,5.0,3.0,마방목지
0.0,30.0,4,6.0,3.0,3.0,4.0,6.0,3.0,4.0,새별오름
1.0,30.0,35,2.0,1.0,6.0,3.0,2.0,5.0,4.0,한담몰
0.0,30.0,16,2.0,1.0,3.0,4.0,6.0,4.0,5.0,성산일출봉
1.0,30.0,9,1.0,2.0,1.0,7.0,1.0,7.0,2.0,항파두리 항몽유적지
0.0,40.0,5,1.0,4.0,6.0,1.0,6.0,6.0,4.0,보말과풍경
1.0,40.0,3,6.0,4.0,6.0,6.0,4.0,3.0,3.0,오설록티뮤지엄
1.0,30.0,4,3.0,1.0,4.0,4.0,2.0,3.0,5.0,한림 작은영화관
1.0,20.0,8,5.0,3.0,6.0,6.0,2.0,6.0,4.0,한담해안산책로
1.0,30.0,7,4.0,1.0,7.0,7.0,2.0,2.0,1.0,보문사
0.0,30.0,8,3.0,2.0,3.0,4.0,5.0,6.0,5.0,원앤온리
1.0,20.0,11,1.0,2.0,1.0,4.0,2.0,6.0,4.0,봉순이네흑돼지
1.0,30.0,4,4.0,4.0,3.0,3.0,4.0,6.0,5.0,이호테우해수욕장
1.0,20.0,17,2.0,2.0,6.0,3.0,6.0,6.0,4.0,중문대포주상절리대
0.0,20.0,13,6.0,7.0,2.0,4.0,7.0,1.0,3.0,서귀포매일올레시장
1.0,20.0,4,2.0,2.0,4.0,4.0,3.0,4.0,4.0,강화소창체험관
1.0,20.0,2,4.0,5.0,3.0,4.0,6.0,6.0,5.0,필기
1.0,40.0,12,2.0,2.0,1.0,4.0,5.0,6.0,5.0,산방산탄산온천
1.0,30.0,29,4.0,1.0,4.0,3.0,6.0,3.0,3.0,제주소품 함덕점
